recording_name,trial_number,subject_id,dataset_name,age_months,yoked_target,yoked_distractor,yoked_pair,exp_to_target_lang,fre_exp,eng_exp,media_name,initial_look,samples_target,samples_distractor,prop_looking,prop_looking_diff,number_fixations,correct_shift,remain_on_target,latency_to_switch,total_aoi_switches,duration_of_look,first_look_dur,longest_look_by_trial,max_pupil_baseline,max_pupil_post_onset,peak_pupil_size_difference,mean_pupil_baseline,mean_pupil_post_onset,mean_pupil_size_difference,peak_pupil_latency,age_months_centred,data_split
CompMix36_S28_502428000_F1,3,502428000,CompMix-36,38,poisson,canard,duck-fish,40,40,60,Fish_FrSingle_R.wmv,distractor,79,80,0.4968553459119497,NA,1,1,NA,1337,1,1316.6666666666667,1316.6666666666667,1316.6666666666667,3.5,3.355,-0.14500000000000002,3.32125,3.228222222222222,-0.09302777777777793,1032,13,distractor
CompMix36_S28_502428000_F1,5,502428000,CompMix-36,38,chien,lapin,bunny-dog,40,40,60,Dog_FrSingle_L.wmv,distractor,79,65,0.5486111111111112,NA,1,1,NA,4,1,1316.6666666666667,1316.6666666666667,1316.6666666666667,3.26,3.425,0.16500000000000004,3.225,3.310111111111111,0.08511111111111092,1249,13,distractor
CompMix36_S28_502428000_F1,8,502428000,CompMix-36,38,main,porte,door-hand,40,40,60,Hand_FrFiller_R.wmv,distractor,71,19,0.7888888888888889,NA,1,1,NA,150,0,1183.3333333333335,1183.3333333333335,1183.3333333333335,3.335,3.515,0.18000000000000016,3.307916666666667,3.2831460674157302,-0.02477059925093661,632,13,distractor
CompMix36_S28_502428000_F1,9,502428000,CompMix-36,38,mouton,singe,monkey-sheep,40,40,60,Sheep_FrSingle_L.wmv,distractor,136,23,0.8553459119496856,NA,1,1,NA,383,1,2266.666666666667,2266.666666666667,2266.666666666667,3.26,3.69,0.43000000000000016,3.21125,3.4507777777777777,0.23952777777777756,932,13,distractor
CompMix36_S13_536412000_F2,9,536412000,CompMix-36,40.43333333333333,mouton,singe,monkey-sheep,70,70,40,Sheep_FrSingle_R.wmv,distractor,41,41,0.5,NA,1,1,NA,520,1,683.3333333333334,683.3333333333334,683.3333333333334,3.37,3.57,0.19999999999999973,3.3249999999999997,3.2927222222222223,-0.032277777777777406,916,15.43333333333333,distractor
CompMix36_S13_536412000_F2,12,536412000,CompMix-36,40.43333333333333,brosse a dents,pomme,apple-toothbrush,70,70,40,Toothbrush_FrFiller_R.wmv,distractor,105,37,0.7394366197183099,NA,3,1,NA,620,1,583.3333333333334,416.6666666666667,1000.0000000000001,2.9699999999999998,3.0949999999999998,0.125,2.8891666666666667,2.9213793103448276,0.0322126436781609,999,15.43333333333333,distractor
CompMix36_S13_536412000_F2,14,536412000,CompMix-36,40.43333333333333,grenouille,vache,cow-froggy,70,70,40,Froggy_FrSingle_L.wmv,distractor,100,35,0.7407407407407407,NA,3,1,NA,588,1,516.6666666666667,433.33333333333337,866.6666666666667,3.075,3.3200000000000003,0.2450000000000001,3.02875,3.0830113636363636,0.05426136363636358,916,15.43333333333333,distractor
CompMix36_S13_536412000_F2,17,536412000,CompMix-36,40.43333333333333,crayon,manteau,coat-pencil,70,70,40,Pencil_FrFiller_R.wmv,distractor,84,33,0.717948717948718,NA,1,1,NA,537,1,916.6666666666667,916.6666666666667,916.6666666666667,3,3.05,0.04999999999999982,2.9645833333333336,2.917388888888889,-0.04719444444444454,1082,15.43333333333333,distractor
CompMix36_S13_536412000_F2,18,536412000,CompMix-36,40.43333333333333,lapin,chien,bunny-dog,70,70,40,Bunny_FrSingle_L.wmv,distractor,79,67,0.541095890410959,NA,1,1,NA,687,1,1133.3333333333335,1133.3333333333335,1133.3333333333335,2.82,3.09,0.27,2.7958333333333334,2.9307222222222222,0.13488888888888884,1349,15.43333333333333,distractor
CompMix36_S13_536412000_F2,21,536412000,CompMix-36,40.43333333333333,singe,mouton,monkey-sheep,70,70,40,Monkey_FrSingle_L.wmv,distractor,68,19,0.7816091954022989,NA,3,1,NA,319,1,283.3333333333333,200,350,3.37,3.615,0.2450000000000001,3.2941666666666665,3.2553947368421055,-0.03877192982456101,267,15.43333333333333,distractor
CompMix36_S13_536412000_F2,22,536412000,CompMix-36,40.43333333333333,canard,poisson,duck-fish,70,70,40,Duck_FrSingle_R.wmv,distractor,135,19,0.8766233766233766,NA,2,1,NA,321,1,1108.3333333333335,350,1866.6666666666667,3.005,3.33,0.3250000000000002,2.941666666666667,3.0251704545454547,0.08350378787878787,799,15.43333333333333,distractor
CompMix36_S15_97932000_F2,3,97932000,CompMix-36,39.46666666666667,poisson,canard,duck-fish,45,45,50,Fish_FrSingle_L.wmv,distractor,46,54,0.46,NA,1,1,NA,1103,1,416.6666666666667,416.6666666666667,416.6666666666667,3.2800000000000002,3.06,-0.2200000000000002,3.0079166666666666,2.887848101265823,-0.12006856540084376,250,14.466666666666669,distractor
CompMix36_S15_97932000_F2,6,97932000,CompMix-36,39.46666666666667,cuillere,oreille,ear-spoon,45,45,50,Spoon_FrFiller_L.wmv,distractor,34,103,0.24817518248175183,NA,1,1,NA,1320,2,566.6666666666667,566.6666666666667,566.6666666666667,2.85,3.31,0.45999999999999996,2.7925,2.8657303370786518,0.07323033707865179,1665,14.466666666666669,distractor
CompMix36_S15_97932000_F2,15,97932000,CompMix-36,39.46666666666667,porte,main,door-hand,45,45,50,Door_FrFiller_L.wmv,distractor,93,53,0.636986301369863,NA,3,1,NA,554,2,516.6666666666667,283.33333333333337,950.0000000000001,3.115,3.45,0.33499999999999996,3.0654166666666667,3.198777777777778,0.13336111111111126,1065,14.466666666666669,distractor
CompMix36_S15_97932000_F2,20,97932000,CompMix-36,39.46666666666667,manteau,crayon,coat-pencil,45,45,50,Coat_FrFiller_R.wmv,distractor,44,92,0.3235294117647059,NA,1,1,NA,154,1,733.3333333333334,733.3333333333334,733.3333333333334,2.955,3.135,0.17999999999999972,2.8379166666666666,2.9619101123595506,0.12399344569288395,433,14.466666666666669,distractor
CompMix36_S15_97932000_F2,22,97932000,CompMix-36,39.46666666666667,canard,poisson,duck-fish,45,45,50,Duck_FrSingle_R.wmv,distractor,89,55,0.6180555555555556,NA,1,1,NA,920,1,1483.3333333333335,1483.3333333333335,1483.3333333333335,2.95,2.89,-0.06000000000000005,2.74625,2.8011666666666666,0.054916666666666725,1582,14.466666666666669,distractor
CompMix36_S15_97932000_F2,24,97932000,CompMix-36,39.46666666666667,vache,grenouille,cow-froggy,45,45,50,Cow_FrSingle_L.wmv,distractor,47,80,0.3700787401574803,NA,1,0,NA,NA,1,783.3333333333334,783.3333333333334,783.3333333333334,2.5,2.915,0.41500000000000004,2.45625,2.711777777777778,0.255527777777778,1416,14.466666666666669,distractor
CompMix36_S17_94332000_F2,2,94332000,CompMix-36,38,pomme,brosse a dents,apple-toothbrush,40,40,60,Apple_FrFiller_R.wmv,distractor,61,82,0.42657342657342656,NA,3,1,NA,254,4,338.8888888888889,500.00000000000006,500.00000000000006,3.245,3.295,0.04999999999999982,3.1975,3.213782051282051,0.016282051282051402,216,13,distractor
CompMix36_S17_94332000_F2,6,94332000,CompMix-36,38,cuillere,oreille,ear-spoon,40,40,60,Spoon_FrFiller_L.wmv,distractor,53,94,0.36054421768707484,NA,1,1,NA,187,1,883.3333333333334,883.3333333333334,883.3333333333334,2.98,3.245,0.2650000000000001,2.9724999999999997,3.094611111111111,0.12211111111111128,766,13,distractor
CompMix36_S17_94332000_F2,8,94332000,CompMix-36,38,main,porte,door-hand,40,40,60,Hand_FrFiller_L.wmv,distractor,55,104,0.34591194968553457,NA,1,1,NA,471,2,916.6666666666667,916.6666666666667,916.6666666666667,2.95,3.075,0.125,2.9345833333333333,3.0292222222222223,0.09463888888888894,499,13,distractor
CompMix36_S17_94332000_F2,9,94332000,CompMix-36,38,mouton,singe,monkey-sheep,40,40,60,Sheep_FrSingle_R.wmv,distractor,124,21,0.8551724137931035,NA,2,1,NA,353,1,1033.3333333333335,1733.3333333333335,1733.3333333333335,3.2199999999999998,3.515,0.2950000000000004,3.1779166666666665,3.303166666666667,0.1252500000000003,833,13,distractor
CompMix36_S17_94332000_F2,17,94332000,CompMix-36,38,crayon,manteau,coat-pencil,40,40,60,Pencil_FrFiller_R.wmv,distractor,39,106,0.2689655172413793,NA,1,1,NA,587,2,650,650,650,2.86,3.085,0.2250000000000001,2.837083333333333,3.0024444444444445,0.1653611111111113,417,13,distractor
CompMix36_S17_94332000_F2,22,94332000,CompMix-36,38,canard,poisson,duck-fish,40,40,60,Duck_FrSingle_R.wmv,distractor,79,68,0.5374149659863946,NA,2,1,NA,553,2,658.3333333333334,300,1016.6666666666667,3.295,3.34,0.04499999999999993,3.2641666666666667,3.2119871794871795,-0.05217948717948717,783,13,distractor
CompMix36_S24_545388000_F2,2,545388000,CompMix-36,41,pomme,brosse a dents,apple-toothbrush,40,40,60,Apple_FrFiller_R.wmv,distractor,42,108,0.28,NA,1,1,NA,171,1,700,700,700,3,2.9400000000000004,-0.05999999999999961,2.87,2.8109146341463416,-0.059085365853658534,866,16,distractor
CompMix36_S24_545388000_F2,5,545388000,CompMix-36,41,chien,lapin,bunny-dog,40,40,60,Dog_FrSingle_R.wmv,distractor,140,18,0.8860759493670886,NA,1,1,NA,304,1,2333.3333333333335,2333.3333333333335,2333.3333333333335,3,3.035,0.03500000000000014,2.9720833333333334,2.9061666666666666,-0.06591666666666685,966,16,distractor
CompMix36_S24_545388000_F2,6,545388000,CompMix-36,41,cuillere,oreille,ear-spoon,40,40,60,Spoon_FrFiller_L.wmv,distractor,92,58,0.6133333333333333,NA,1,1,NA,371,2,1533.3333333333335,1533.3333333333335,1533.3333333333335,3.12,3.09,-0.03000000000000025,3.1029166666666668,2.7735555555555558,-0.329361111111111,49,16,distractor
CompMix36_S24_545388000_F2,12,545388000,CompMix-36,41,brosse a dents,pomme,apple-toothbrush,40,40,60,Toothbrush_FrFiller_R.wmv,distractor,77,70,0.5238095238095238,NA,2,1,NA,454,3,641.6666666666667,966.6666666666667,966.6666666666667,2.605,2.96,0.355,2.5637499999999998,2.750722222222222,0.18697222222222232,1648,16,distractor
CompMix36_S24_545388000_F2,15,545388000,CompMix-36,41,porte,main,door-hand,40,40,60,Door_FrFiller_L.wmv,distractor,50,88,0.36231884057971014,NA,1,1,NA,137,1,833.3333333333334,833.3333333333334,833.3333333333334,3.03,3.29,0.26000000000000023,3.0054166666666666,3.075670731707317,0.07025406504065046,184,16,distractor
CompMix36_S24_545388000_F2,17,545388000,CompMix-36,41,crayon,manteau,coat-pencil,40,40,60,Pencil_FrFiller_R.wmv,distractor,66,84,0.44,NA,2,1,NA,5,2,550,700,700,2.75,3.0549999999999997,0.3049999999999997,2.7258333333333336,2.9186111111111113,0.19277777777777771,1483,16,distractor
CompMix36_S24_545388000_F2,20,545388000,CompMix-36,41,manteau,crayon,coat-pencil,40,40,60,Coat_FrFiller_R.wmv,distractor,96,63,0.6037735849056604,NA,1,1,NA,287,2,1516.6666666666667,1516.6666666666667,1516.6666666666667,3.065,2.855,-0.20999999999999996,2.97875,2.735333333333333,-0.24341666666666661,167,16,distractor
CompMix36_S24_545388000_F2,21,545388000,CompMix-36,41,singe,mouton,monkey-sheep,40,40,60,Monkey_FrSingle_L.wmv,distractor,156,3,0.9811320754716981,NA,1,1,NA,54,0,2600,2600,2600,2.9050000000000002,3.2,0.29499999999999993,2.8737500000000002,3.0195000000000003,0.14575000000000005,750,16,distractor
CompMix36_S24_545388000_F2,22,545388000,CompMix-36,41,canard,poisson,duck-fish,40,40,60,Duck_FrSingle_R.wmv,distractor,144,15,0.9056603773584906,NA,1,1,NA,254,1,2400,2400,2400,2.81,2.955,0.14500000000000002,2.7683333333333335,2.7743333333333333,0.005999999999999783,1533,16,distractor
CompMix36_S24_545388000_F2,24,545388000,CompMix-36,41,vache,grenouille,cow-froggy,40,40,60,Cow_FrSingle_L.wmv,distractor,110,49,0.6918238993710691,NA,1,1,NA,820,1,1833.3333333333335,1833.3333333333335,1833.3333333333335,3.085,2.9450000000000003,-0.13999999999999968,3.035,2.8801666666666668,-0.15483333333333338,200,16,distractor
CompMix36_S30_109320000_F2,5,109320000,CompMix-36,40.2,chien,lapin,bunny-dog,60,60,40,Dog_FrSingle_R.wmv,distractor,53,94,0.36054421768707484,NA,1,1,NA,553,2,883.3333333333334,883.3333333333334,883.3333333333334,3.19,3.46,0.27,3.17625,3.225493827160494,0.049243827160494025,1066,15.200000000000003,distractor
CompMix36_S30_109320000_F2,9,109320000,CompMix-36,40.2,mouton,singe,monkey-sheep,60,60,40,Sheep_FrSingle_R.wmv,distractor,71,66,0.5182481751824818,NA,1,1,NA,570,2,1150,1150,1150,3.31,3.58,0.27,3.2783333333333333,3.3825280898876406,0.10419475655430732,1116,15.200000000000003,distractor
CompMix36_S30_109320000_F2,12,109320000,CompMix-36,40.2,brosse a dents,pomme,apple-toothbrush,60,60,40,Toothbrush_FrFiller_R.wmv,distractor,63,90,0.4117647058823529,NA,1,1,NA,887,2,1016.6666666666667,1016.6666666666667,1016.6666666666667,2.885,3.26,0.375,2.8708333333333336,3.0528488372093023,0.18201550387596876,1316,15.200000000000003,distractor
CompMix36_S30_109320000_F2,17,109320000,CompMix-36,40.2,crayon,manteau,coat-pencil,60,60,40,Pencil_FrFiller_R.wmv,distractor,132,27,0.8301886792452831,NA,1,1,NA,454,1,2200,2200,2200,3.075,3.24,0.16500000000000004,3.049166666666667,3.1335555555555556,0.08438888888888885,999,15.200000000000003,distractor
